kind,image_id,class_name,cls,conf,best_iou,xyxy,crop,full
miss,196c224be31f49e7a7054815d573037e,drainage gate,1,1.0,,"[488.99999808, 687.99999744, 575.99999424, 766.99999488]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/drainage_gate/196c224be31f49e7a7054815d573037e_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/196c224be31f49e7a7054815d573037e.jpg
miss,196c224be31f49e7a7054815d573037e,nozzle,2,1.0,,"[919.0000019199999, 502.99999872, 972.00000832, 547.99999872]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/196c224be31f49e7a7054815d573037e_002.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/196c224be31f49e7a7054815d573037e.jpg
miss,196c224be31f49e7a7054815d573037e,nozzle,2,1.0,,"[1168.99999744, 298.99999872, 1196.99999232, 319.00000128]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/196c224be31f49e7a7054815d573037e_003.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/196c224be31f49e7a7054815d573037e.jpg
false_positive,72308c1ad7844eb59747295a8be4197e,nozzle,2,0.11110366880893707,0.0,"[1054.23291015625, 464.3893127441406, 1071.0694580078125, 487.0406494140625]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/false_positive/nozzle/72308c1ad7844eb59747295a8be4197e_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[631.82255488, 628.13085312, 657.7724454400001, 650.0338521599999]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_012.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[632.51721984, 494.73787391999997, 656.76773888, 514.04580864]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_013.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[484.9185792, 504.98606592000004, 504.76566271999997, 520.72292352]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_014.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[843.7907033600001, 274.38741888, 861.00834688, 301.12457856]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_015.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[1036.64665984, 297.19179648, 1055.56367488, 315.9945024]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_016.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[1040.14300544, 539.45673216, 1059.57098368, 559.4249164800001]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_017.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
