mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.38857142857142857,0.0,0.9714285714285714,0.0,0.0,0,2,115,2,115,
global,0.05,50,0.38857142857142857,0.0,0.9714285714285714,0.0,0.0,0,2,115,2,115,
global,0.05,100,0.38857142857142857,0.0,0.9714285714285714,0.0,0.0,0,2,115,2,115,
global,0.05,300,0.38857142857142857,0.0,0.9714285714285714,0.0,0.0,0,2,115,2,115,
global,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.1,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.1,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.1,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.15,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.15,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.15,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.15,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.2,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.2,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.2,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.2,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.25,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.25,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.25,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.25,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.7,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.7,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.7,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.7,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.1, ""can"": 0.1, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.1, ""can"": 0.2, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.1, ""can"": 0.3, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.1, ""can"": 0.4, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.1, ""can"": 0.5, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.2, ""can"": 0.1, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.2, ""can"": 0.2, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.2, ""can"": 0.3, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.2, ""can"": 0.4, ""cup"": 0.1}"
per_class,0.1,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,"{""bottle"": 0.2, ""can"": 0.5, ""cup"": 0.1}"
