mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.6990022203778139,0.7761148117408011,0.5833333333333333,0.7297297297297297,0.8181818181818182,135,50,30,185,165,
global,0.05,50,0.6770633469260561,0.789550022654538,0.5083333333333333,0.700507614213198,0.8363636363636363,138,59,27,197,165,
global,0.05,100,0.6770633469260561,0.789550022654538,0.5083333333333333,0.700507614213198,0.8363636363636363,138,59,27,197,165,
global,0.05,300,0.6770633469260561,0.789550022654538,0.5083333333333333,0.700507614213198,0.8363636363636363,138,59,27,197,165,
global,0.1,20,0.7238548061135739,0.761980232411512,0.6666666666666666,0.7674418604651163,0.8,132,40,33,172,165,
global,0.1,50,0.7159814841228627,0.7710802513158822,0.6333333333333333,0.7528089887640449,0.8121212121212121,134,44,31,178,165,
global,0.1,100,0.7159814841228627,0.7710802513158822,0.6333333333333333,0.7528089887640449,0.8121212121212121,134,44,31,178,165,
global,0.1,300,0.7159814841228627,0.7710802513158822,0.6333333333333333,0.7528089887640449,0.8121212121212121,134,44,31,178,165,
global,0.15,20,0.7442866549664753,0.7571444249441256,0.725,0.7987804878048781,0.793939393939394,131,33,34,164,165,
global,0.15,50,0.7463970455729068,0.7662172981770669,0.7166666666666667,0.7964071856287425,0.806060606060606,133,34,32,167,165,
global,0.15,100,0.7463970455729068,0.7662172981770669,0.7166666666666667,0.7964071856287425,0.806060606060606,133,34,32,167,165,
global,0.15,300,0.7463970455729068,0.7662172981770669,0.7166666666666667,0.7964071856287425,0.806060606060606,133,34,32,167,165,
global,0.2,20,0.7494135513089035,0.749022585514839,0.75,0.8113207547169812,0.7818181818181819,129,30,36,159,165,
global,0.2,50,0.7490497484451005,0.7539718029640564,0.7416666666666667,0.8074534161490683,0.7878787878787878,130,31,35,161,165,
global,0.2,100,0.7490497484451005,0.7539718029640564,0.7416666666666667,0.8074534161490683,0.7878787878787878,130,31,35,161,165,
global,0.2,300,0.7490497484451005,0.7539718029640564,0.7416666666666667,0.8074534161490683,0.7878787878787878,130,31,35,161,165,
global,0.25,20,0.7539578316554226,0.7399297194257043,0.775,0.8246753246753247,0.7696969696969697,127,27,38,154,165,
global,0.25,50,0.7539578316554226,0.7399297194257043,0.775,0.8246753246753247,0.7696969696969697,127,27,38,154,165,
global,0.25,100,0.7539578316554226,0.7399297194257043,0.775,0.8246753246753247,0.7696969696969697,127,27,38,154,165,
global,0.25,300,0.7539578316554226,0.7399297194257043,0.775,0.8246753246753247,0.7696969696969697,127,27,38,154,165,
global,0.3,20,0.7602789018895362,0.7337981698158936,0.8,0.84,0.7636363636363637,126,24,39,150,165,
global,0.3,50,0.7602789018895362,0.7337981698158936,0.8,0.84,0.7636363636363637,126,24,39,150,165,
global,0.3,100,0.7602789018895362,0.7337981698158936,0.8,0.84,0.7636363636363637,126,24,39,150,165,
global,0.3,300,0.7602789018895362,0.7337981698158936,0.8,0.84,0.7636363636363637,126,24,39,150,165,
global,0.35,20,0.7639702419959706,0.7288392922155067,0.8166666666666667,0.8503401360544217,0.7575757575757576,125,22,40,147,165,
global,0.35,50,0.7639702419959706,0.7288392922155067,0.8166666666666667,0.8503401360544217,0.7575757575757576,125,22,40,147,165,
global,0.35,100,0.7639702419959706,0.7288392922155067,0.8166666666666667,0.8503401360544217,0.7575757575757576,125,22,40,147,165,
global,0.35,300,0.7639702419959706,0.7288392922155067,0.8166666666666667,0.8503401360544217,0.7575757575757576,125,22,40,147,165,
global,0.4,20,0.7634112357847905,0.7223520596413175,0.825,0.8551724137931035,0.7515151515151515,124,21,41,145,165,
global,0.4,50,0.7634112357847905,0.7223520596413175,0.825,0.8551724137931035,0.7515151515151515,124,21,41,145,165,
global,0.4,100,0.7634112357847905,0.7223520596413175,0.825,0.8551724137931035,0.7515151515151515,124,21,41,145,165,
