mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.20873521131391354,0.07170154266604628,0.41428571428571437,0.3492063492063492,0.19130434782608696,22,41,93,63,115,
global,0.05,50,0.20873521131391354,0.07170154266604628,0.41428571428571437,0.3492063492063492,0.19130434782608696,22,41,93,63,115,
global,0.05,100,0.20873521131391354,0.07170154266604628,0.41428571428571437,0.3492063492063492,0.19130434782608696,22,41,93,63,115,
global,0.05,300,0.20873521131391354,0.07170154266604628,0.41428571428571437,0.3492063492063492,0.19130434782608696,22,41,93,63,115,
global,0.1,20,0.37468081969629957,0.043515651874785004,0.8714285714285714,0.5263157894736842,0.08695652173913043,10,9,105,19,115,
global,0.1,50,0.37468081969629957,0.043515651874785004,0.8714285714285714,0.5263157894736842,0.08695652173913043,10,9,105,19,115,
global,0.1,100,0.37468081969629957,0.043515651874785004,0.8714285714285714,0.5263157894736842,0.08695652173913043,10,9,105,19,115,
global,0.1,300,0.37468081969629957,0.043515651874785004,0.8714285714285714,0.5263157894736842,0.08695652173913043,10,9,105,19,115,
global,0.15,20,0.3894235588972431,0.02046783625730994,0.9428571428571428,0.5,0.034782608695652174,4,4,111,8,115,
global,0.15,50,0.3894235588972431,0.02046783625730994,0.9428571428571428,0.5,0.034782608695652174,4,4,111,8,115,
global,0.15,100,0.3894235588972431,0.02046783625730994,0.9428571428571428,0.5,0.034782608695652174,4,4,111,8,115,
global,0.15,300,0.3894235588972431,0.02046783625730994,0.9428571428571428,0.5,0.034782608695652174,4,4,111,8,115,
global,0.2,20,0.3938345864661654,0.008771929824561403,0.9714285714285714,0.5,0.017391304347826087,2,2,113,4,115,
global,0.2,50,0.3938345864661654,0.008771929824561403,0.9714285714285714,0.5,0.017391304347826087,2,2,113,4,115,
global,0.2,100,0.3938345864661654,0.008771929824561403,0.9714285714285714,0.5,0.017391304347826087,2,2,113,4,115,
global,0.2,300,0.3938345864661654,0.008771929824561403,0.9714285714285714,0.5,0.017391304347826087,2,2,113,4,115,
