mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.3649014315577784,0.07483571926296383,0.8,0.5333333333333333,0.1391304347826087,16,14,99,30,115,
global,0.05,50,0.3649014315577784,0.07483571926296383,0.8,0.5333333333333333,0.1391304347826087,16,14,99,30,115,
global,0.05,100,0.3649014315577784,0.07483571926296383,0.8,0.5333333333333333,0.1391304347826087,16,14,99,30,115,
global,0.05,300,0.3649014315577784,0.07483571926296383,0.8,0.5333333333333333,0.1391304347826087,16,14,99,30,115,
global,0.1,20,0.41182957393483716,0.029239766081871343,0.9857142857142858,0.8333333333333334,0.043478260869565216,5,1,110,6,115,
global,0.1,50,0.41182957393483716,0.029239766081871343,0.9857142857142858,0.8333333333333334,0.043478260869565216,5,1,110,6,115,
global,0.1,100,0.41182957393483716,0.029239766081871343,0.9857142857142858,0.8333333333333334,0.043478260869565216,5,1,110,6,115,
global,0.1,300,0.41182957393483716,0.029239766081871343,0.9857142857142858,0.8333333333333334,0.043478260869565216,5,1,110,6,115,
global,0.15,20,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.15,50,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.15,100,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.15,300,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.2,20,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.2,50,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.2,100,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.2,300,0.40701754385964917,0.011695906432748537,1.0,1.0,0.017391304347826087,2,0,113,2,115,
global,0.25,20,0.4035087719298246,0.005847953216374269,1.0,1.0,0.008695652173913044,1,0,114,1,115,
global,0.25,50,0.4035087719298246,0.005847953216374269,1.0,1.0,0.008695652173913044,1,0,114,1,115,
global,0.25,100,0.4035087719298246,0.005847953216374269,1.0,1.0,0.008695652173913044,1,0,114,1,115,
global,0.25,300,0.4035087719298246,0.005847953216374269,1.0,1.0,0.008695652173913044,1,0,114,1,115,
global,0.3,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.3,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.35,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.4,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.45,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.5,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,50,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,100,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.6,300,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
global,0.7,20,0.4,0.0,1.0,0.0,0.0,0,0,115,0,115,
