mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.2917476890967774,0.36243662468510524,0.18571428571428572,0.5327868852459017,0.5652173913043478,65,57,50,122,115,
global,0.05,50,0.2295997165999706,0.38266619433328436,0.0,0.5,0.6086956521739131,70,70,45,140,115,
global,0.05,100,0.2295997165999706,0.38266619433328436,0.0,0.5,0.6086956521739131,70,70,45,140,115,
global,0.05,300,0.2295997165999706,0.38266619433328436,0.0,0.5,0.6086956521739131,70,70,45,140,115,
global,0.1,20,0.4075914180712187,0.32693807773774547,0.5285714285714286,0.6373626373626373,0.5043478260869565,58,33,57,91,115,
global,0.1,50,0.4098690419554908,0.33073411754486565,0.5285714285714286,0.6413043478260869,0.5130434782608696,59,33,56,92,115,
global,0.1,100,0.4098690419554908,0.33073411754486565,0.5285714285714286,0.6413043478260869,0.5130434782608696,59,33,56,92,115,
global,0.1,300,0.4098690419554908,0.33073411754486565,0.5285714285714286,0.6413043478260869,0.5130434782608696,59,33,56,92,115,
global,0.15,20,0.4398678727253823,0.2759702640661134,0.6857142857142857,0.6857142857142857,0.41739130434782606,48,22,67,70,115,
global,0.15,50,0.4398678727253823,0.2759702640661134,0.6857142857142857,0.6857142857142857,0.41739130434782606,48,22,67,70,115,
global,0.15,100,0.4398678727253823,0.2759702640661134,0.6857142857142857,0.6857142857142857,0.41739130434782606,48,22,67,70,115,
global,0.15,300,0.4398678727253823,0.2759702640661134,0.6857142857142857,0.6857142857142857,0.41739130434782606,48,22,67,70,115,
global,0.2,20,0.46490559732664993,0.25103313840155944,0.7857142857142857,0.7413793103448276,0.3739130434782609,43,15,72,58,115,
global,0.2,50,0.46490559732664993,0.25103313840155944,0.7857142857142857,0.7413793103448276,0.3739130434782609,43,15,72,58,115,
global,0.2,100,0.46490559732664993,0.25103313840155944,0.7857142857142857,0.7413793103448276,0.3739130434782609,43,15,72,58,115,
global,0.2,300,0.46490559732664993,0.25103313840155944,0.7857142857142857,0.7413793103448276,0.3739130434782609,43,15,72,58,115,
global,0.25,20,0.46176861648843076,0.2267572179569084,0.8142857142857143,0.75,0.3391304347826087,39,13,76,52,115,
global,0.25,50,0.46176861648843076,0.2267572179569084,0.8142857142857143,0.75,0.3391304347826087,39,13,76,52,115,
