mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.6964531733746129,0.6940886222910216,0.7,0.671875,0.6825396825396826,43,21,20,64,63,
global,0.05,50,0.6964531733746129,0.6940886222910216,0.7,0.671875,0.6825396825396826,43,21,20,64,63,
global,0.05,100,0.6964531733746129,0.6940886222910216,0.7,0.671875,0.6825396825396826,43,21,20,64,63,
global,0.05,300,0.6964531733746129,0.6940886222910216,0.7,0.671875,0.6825396825396826,43,21,20,64,63,
global,0.1,20,0.7417105263157895,0.6266604010025063,0.9142857142857143,0.8536585365853658,0.5555555555555556,35,6,28,41,63,
global,0.1,50,0.7417105263157895,0.6266604010025063,0.9142857142857143,0.8536585365853658,0.5555555555555556,35,6,28,41,63,
global,0.1,100,0.7417105263157895,0.6266604010025063,0.9142857142857143,0.8536585365853658,0.5555555555555556,35,6,28,41,63,
global,0.1,300,0.7417105263157895,0.6266604010025063,0.9142857142857143,0.8536585365853658,0.5555555555555556,35,6,28,41,63,
global,0.15,20,0.7288533834586466,0.5766604010025063,0.9571428571428572,0.918918918918919,0.5396825396825397,34,3,29,37,63,
global,0.15,50,0.7288533834586466,0.5766604010025063,0.9571428571428572,0.918918918918919,0.5396825396825397,34,3,29,37,63,
global,0.15,100,0.7288533834586466,0.5766604010025063,0.9571428571428572,0.918918918918919,0.5396825396825397,34,3,29,37,63,
global,0.15,300,0.7288533834586466,0.5766604010025063,0.9571428571428572,0.918918918918919,0.5396825396825397,34,3,29,37,63,
global,0.2,20,0.7070676691729323,0.5403508771929825,0.9571428571428572,0.9090909090909091,0.47619047619047616,30,3,33,33,63,
global,0.2,50,0.7070676691729323,0.5403508771929825,0.9571428571428572,0.9090909090909091,0.47619047619047616,30,3,33,33,63,
global,0.2,100,0.7070676691729323,0.5403508771929825,0.9571428571428572,0.9090909090909091,0.47619047619047616,30,3,33,33,63,
global,0.2,300,0.7070676691729323,0.5403508771929825,0.9571428571428572,0.9090909090909091,0.47619047619047616,30,3,33,33,63,
global,0.25,20,0.6756547619047619,0.47847222222222224,0.9714285714285714,0.9333333333333333,0.4444444444444444,28,2,35,30,63,
global,0.25,50,0.6756547619047619,0.47847222222222224,0.9714285714285714,0.9333333333333333,0.4444444444444444,28,2,35,30,63,
global,0.25,100,0.6756547619047619,0.47847222222222224,0.9714285714285714,0.9333333333333333,0.4444444444444444,28,2,35,30,63,
global,0.25,300,0.6756547619047619,0.47847222222222224,0.9714285714285714,0.9333333333333333,0.4444444444444444,28,2,35,30,63,
global,0.3,20,0.6556547619047619,0.4451388888888889,0.9714285714285714,0.9230769230769231,0.38095238095238093,24,2,39,26,63,
global,0.3,50,0.6556547619047619,0.4451388888888889,0.9714285714285714,0.9230769230769231,0.38095238095238093,24,2,39,26,63,
global,0.3,100,0.6556547619047619,0.4451388888888889,0.9714285714285714,0.9230769230769231,0.38095238095238093,24,2,39,26,63,
global,0.3,300,0.6556547619047619,0.4451388888888889,0.9714285714285714,0.9230769230769231,0.38095238095238093,24,2,39,26,63,
global,0.35,20,0.6613690476190477,0.4451388888888889,0.9857142857142858,0.96,0.38095238095238093,24,1,39,25,63,
global,0.35,50,0.6613690476190477,0.4451388888888889,0.9857142857142858,0.96,0.38095238095238093,24,1,39,25,63,
global,0.35,100,0.6613690476190477,0.4451388888888889,0.9857142857142858,0.96,0.38095238095238093,24,1,39,25,63,
global,0.35,300,0.6613690476190477,0.4451388888888889,0.9857142857142858,0.96,0.38095238095238093,24,1,39,25,63,
global,0.4,20,0.6126190476190476,0.3638888888888889,0.9857142857142858,0.9565217391304348,0.3492063492063492,22,1,41,23,63,
global,0.4,50,0.6126190476190476,0.3638888888888889,0.9857142857142858,0.9565217391304348,0.3492063492063492,22,1,41,23,63,
global,0.4,100,0.6126190476190476,0.3638888888888889,0.9857142857142858,0.9565217391304348,0.3492063492063492,22,1,41,23,63,
global,0.4,300,0.6126190476190476,0.3638888888888889,0.9857142857142858,0.9565217391304348,0.3492063492063492,22,1,41,23,63,
global,0.45,20,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.45,50,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.45,100,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.45,300,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.5,20,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.5,50,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
global,0.5,100,0.6112500000000001,0.35208333333333336,1.0,1.0,0.3333333333333333,21,0,42,21,63,
