mode,confidence,max_det,score,map50,fp_score,precision,recall,tp,fp,fn,predictions,gt,per_class_confidence
global,0.05,20,0.18114520539946394,0.30190867566577323,0.0,0.2425,0.46634615384615385,97,303,111,400,208,
global,0.05,50,0.19002177946834128,0.31670296578056883,0.0,0.12324324324324325,0.5480769230769231,114,811,94,925,208,
global,0.05,100,0.19044142213063903,0.3174023702177317,0.0,0.0972338642078793,0.5576923076923077,116,1077,92,1193,208,
global,0.05,300,0.19044142213063903,0.3174023702177317,0.0,0.0972338642078793,0.5576923076923077,116,1077,92,1193,208,
global,0.1,20,0.18114520539946394,0.30190867566577323,0.0,0.24433249370277077,0.46634615384615385,97,300,111,397,208,
global,0.1,50,0.18846978549215904,0.3141163091535984,0.0,0.14473684210526316,0.5288461538461539,110,650,98,760,208,
global,0.1,100,0.1884256381673475,0.3140427302789125,0.0,0.13994910941475827,0.5288461538461539,110,676,98,786,208,
global,0.1,300,0.1884256381673475,0.3140427302789125,0.0,0.13994910941475827,0.5288461538461539,110,676,98,786,208,
global,0.15,20,0.18039582599913692,0.30065970999856156,0.0,0.24489795918367346,0.46153846153846156,96,296,112,392,208,
global,0.15,50,0.18664779572580556,0.31107965954300926,0.0,0.178752107925801,0.5096153846153846,106,487,102,593,208,
global,0.15,100,0.18664779572580556,0.31107965954300926,0.0,0.1781512605042017,0.5096153846153846,106,489,102,595,208,
global,0.15,300,0.18664779572580556,0.31107965954300926,0.0,0.1781512605042017,0.5096153846153846,106,489,102,595,208,
global,0.2,20,0.17552478943026323,0.2925413157171054,0.0,0.2534435261707989,0.4423076923076923,92,271,116,363,208,
global,0.2,50,0.1791771692031704,0.29862861533861734,0.0,0.20995670995670995,0.46634615384615385,97,365,111,462,208,
global,0.2,100,0.1791771692031704,0.29862861533861734,0.0,0.20995670995670995,0.46634615384615385,97,365,111,462,208,
global,0.2,300,0.1791771692031704,0.29862861533861734,0.0,0.20995670995670995,0.46634615384615385,97,365,111,462,208,
global,0.25,20,0.17248209076702475,0.2874701512783746,0.0,0.26506024096385544,0.4230769230769231,88,244,120,332,208,
global,0.25,50,0.17571613662777505,0.29286022771295844,0.0,0.24797843665768193,0.4423076923076923,92,279,116,371,208,
global,0.25,100,0.17571613662777505,0.29286022771295844,0.0,0.24797843665768193,0.4423076923076923,92,279,116,371,208,
global,0.25,300,0.17571613662777505,0.29286022771295844,0.0,0.24797843665768193,0.4423076923076923,92,279,116,371,208,
global,0.3,20,0.16889040251939869,0.28148400419899783,0.0,0.2857142857142857,0.41346153846153844,86,215,122,301,208,
global,0.3,50,0.17055702250639682,0.28426170417732805,0.0,0.2802547770700637,0.4230769230769231,88,226,120,314,208,
global,0.3,100,0.17055702250639682,0.28426170417732805,0.0,0.2802547770700637,0.4230769230769231,88,226,120,314,208,
global,0.3,300,0.17055702250639682,0.28426170417732805,0.0,0.2802547770700637,0.4230769230769231,88,226,120,314,208,
global,0.35,20,0.22435983381449853,0.27726638969083095,0.1449999999999999,0.32677165354330706,0.39903846153846156,83,171,125,254,208,
global,0.35,50,0.21925644350909093,0.27876073918181815,0.13000000000000012,0.32558139534883723,0.40384615384615385,84,174,124,258,208,
global,0.35,100,0.21925644350909093,0.27876073918181815,0.13000000000000012,0.32558139534883723,0.40384615384615385,84,174,124,258,208,
global,0.35,300,0.21925644350909093,0.27876073918181815,0.13000000000000012,0.32558139534883723,0.40384615384615385,84,174,124,258,208,
global,0.4,20,0.2912135143712205,0.27202252395203413,0.32000000000000006,0.37037037037037035,0.38461538461538464,80,136,128,216,208,
global,0.4,50,0.2912135143712205,0.27202252395203413,0.32000000000000006,0.37037037037037035,0.38461538461538464,80,136,128,216,208,
